Location,Class Name,Class Type,First Class Info,Skip Day,Price,Instructor Name,Start Date and Time
Poland,Puppy A.K.C. S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Jenny Falvey,03/26/2023 02:30 PM
Poland,Puppy A.K.C. S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Jenny Falvey,04/03/2023 05:45 PM
Poland,Puppy A.K.C. S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Sam Ragan,04/24/2023 05:45 PM
Poland,Puppy A.K.C. S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Jenny Falvey,04/26/2023 07:00 PM
Poland,Puppy A.K.C. S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Jenny Falvey,05/14/2023 02:30 PM
Poland,Puppy A.K.C. S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Jenny Falvey,05/15/2023 05:45 PM
Poland,Beginner Obedience ,OBEDIENCE & MANNERS,,,$139 ,Karen Becker,03/28/2023 09:30 AM
Poland,Beginner Obedience ,OBEDIENCE & MANNERS,,,$139 ,Jenny Falvey,04/12/2023 05:45 PM
Poland,Beginner Obedience ,OBEDIENCE & MANNERS,,,$139 ,Amber Nemergut,04/16/2023 10:45 AM
Poland,Beginner Obedience ,OBEDIENCE & MANNERS,,,$139 ,Dee Franke,04/16/2023 00:00 PM
Poland,Beginner Obedience ,OBEDIENCE & MANNERS,,,$139 ,Heather Constiner,04/22/2023 00:00 AM
Poland,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Sam Ragan,03/23/2023 05:45 PM
Poland,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Amber Nemergut,04/05/2023 05:45 PM
Poland,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Dee Franke,04/06/2023 09:30 AM
Poland,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Dee Franke,04/23/2023 10:45 AM
Poland,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Dee Franke,04/25/2023 07:00 PM
Poland,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Amber Nemergut,05/02/2023 05:45 PM
Poland,Intermediate Obedience - Level 2 ,OBEDIENCE & MANNERS,,,$139 ,Karen Becker,06/06/2023 09:30 AM
Poland,Get Control! ,SPECIALTY BEHAVIOR,,,$150 ,Heather Constiner,04/08/2023 11:30 AM
Poland,Get Control! ,SPECIALTY BEHAVIOR,,,$150 ,Dee Franke,04/18/2023 05:45 PM
Poland,Get Control! ,SPECIALTY BEHAVIOR,,,$150 ,Heather Constiner,04/29/2023 10:15 AM
Poland,Get Control! ,SPECIALTY BEHAVIOR,,,$150 ,Dee Franke,05/04/2023 10:45 AM
Poland,Get Control! ,SPECIALTY BEHAVIOR,,,$150 ,Dee Franke,06/06/2023 05:45 PM
Poland,Fearful and Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR,First class is 9:30am-11:30am; no dogs,,$190 ,Amber Nemergut,04/19/2023 09:30 AM
Poland,Fearful and Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR,First class is 9:30am-11:30am; no dogs,Skip day 5/28,$190 ,Amber Nemergut,04/23/2023 09:30 AM
Poland,Fearful and Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR,First class is 4pm-6pm; no dogs,,$190 ,Jenny Falvey,04/30/2023 04:00 PM
Poland,Fearful and Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR,First class is 9:30am-11:30am; no dogs,,$190 ,Amber Nemergut,05/31/2023 09:30 AM
Poland,Fearful and Shy Dog Level 1 - Fear of People ,SPECIALTY BEHAVIOR,First class is 4pm-6pm; no dogs,,$190 ,Jenny Falvey,06/11/2023 04:00 PM
Poland,Small Dog Tricks and Enrichment ,FUN CLASSES,,,$110 ,Dee Franke,04/20/2023 10:45 AM
Poland,Intro to Tricks ,FUN CLASSES,,Skip day 5/28,$139 ,Dee Franke,04/23/2023 02:30 PM
Poland,Polite Greetings ,MINI CLASSES,,,$20 ,Amber Nemergut,04/16/2023 02:30 PM
Poland,Puppy Power Hour ,MINI CLASSES,,,$20 ,Sam Ragan,03/27/2023 05:45 PM
Poland,Puppy Power Hour ,MINI CLASSES,,,$20 ,Sam Ragan,04/03/2023 05:45 PM
Poland,Puppy Power Hour ,MINI CLASSES,,,$20 ,Sam Ragan,04/10/2023 05:45 PM
Poland,Puppy Power Hour ,MINI CLASSES,,,$20 ,Sam Ragan,04/17/2023 05:45 PM
Warren,Puppy Class - AKC S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Heather Constiner,04/08/2023 02:45 PM
Warren,Puppy Class - AKC S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,skip days 5/27 & 7/1,$99 ,Heather Constiner,05/20/2023 02:45 PM
Warren,Puppy Class - AKC S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Heather Constiner,07/15/2023 03:45 PM
Warren,Puppy Class - AKC S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Heather Constiner,08/26/2023 02:45 PM
Warren,Puppy Class - AKC S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Heather Constiner,10/07/2023 02:45 PM
Warren,Puppy Class - AKC S.T.A.R. ,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,$99 ,Heather Constiner,11/18/2023 02:45 PM
