Location,Class Name,Class Type,First Class Time,No dog first class,Skip Day,misc
Poland,Puppy A.K.C. S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,,Sunday 3/26/23 at 2:30 PM with Jenny Falvey
Poland,Puppy A.K.C. S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,,Monday 4/3/23 at 5:45 PM with Jenny Falvey
Poland,Puppy A.K.C. S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,,Monday 4/24/23 at 5:45 PM with Sam Ragan
Poland,Puppy A.K.C. S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,,Wednesday 4/26/23 at 7:00 PM with Jenny Falvey
Poland,Puppy A.K.C. S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,,Sunday 5/14/23 at 2:30 PM with Jenny Falvey
Poland,Puppy A.K.C. S.T.A.R. - $99​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,A.K.C. PUPPY S.T.A.R. PUPPY CLASS,,,,Monday 5/15/23 at 5:45 PM with Jenny Falvey 
Poland,Beginner Obedience - $139,OBEDIENCE & MANNERS,,,,Tuesday 3/28/23 at 9:30 AM with Karen Becker
Poland,Beginner Obedience - $139,OBEDIENCE & MANNERS,,,,Wednesday 4/12/23 at 5:45 PM with Jenny Falvey
Poland,Beginner Obedience - $139,OBEDIENCE & MANNERS,,,,Sunday 4/16/23 at 10:45 AM with Amber Nemergut
Poland,Beginner Obedience - $139,OBEDIENCE & MANNERS,,,,Sunday 4/16/23 at 12 PM with Dee Franke
Poland,Beginner Obedience - $139,OBEDIENCE & MANNERS,,,,Saturday 4/22/23 at 9 AM with Heather Constiner
Poland,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,OBEDIENCE & MANNERS,,,,Thursday 3/23/23 at 5:45 PM with Sam Ragan
Poland,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,OBEDIENCE & MANNERS,,,,Wednesday 4/5/23 at 5:45 PM with Amber Nemergut
Poland,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,OBEDIENCE & MANNERS,,,,Thursday 4/6/23 at 9:30 AM with Dee Franke
Poland,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,OBEDIENCE & MANNERS,,,,Sunday 4/23/23 at 10:45 AM with Dee Franke
Poland,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,OBEDIENCE & MANNERS,,,,Tuesday 4/25/23 at 7:00 PM with Dee Franke
Poland,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,OBEDIENCE & MANNERS,,,,Tuesday 5/2/23 at 5:45 PM with Amber Nemergut
Poland,Intermediate Obedience - Level 2 - $139​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​,OBEDIENCE & MANNERS,,,,Tuesday 6/6/23 at 9:30 AM with Karen Becker
Poland,Get Control! - $150​​​​​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,,,,Saturday 4/8/23 at 11:30 AM with Heather Constiner
Poland,Get Control! - $150​​​​​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,,,,Tuesday 4/18/23 at 5:45 PM with Dee Franke
Poland,Get Control! - $150​​​​​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,,,,Saturday 4/29/23 at 10:15 AM with Heather Constiner
Poland,Get Control! - $150​​​​​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,,,,Thursday 5/4/23 at 10:45 AM with Dee Franke
Poland,Get Control! - $150​​​​​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,,,,Tuesday 6/6/23 at 5:45 PM with Dee Franke
Poland,Fearful and Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,First class is 9:30am-11:30am; no dogs​,,,Wednesday 4/19/23 at 9:30 AM with Amber Nemergut
Poland,Fearful and Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,First class is 9:30am-11:30am; no dogs​,,Skip day 5/28​,Sunday 4/23/23 at 9:30 AM with Amber Nemergut
Poland,Fearful and Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,First class is 4pm-6pm; no dogs​,,,Sunday 4/30/23 at 4:00 PM with Jenny Falvey
Poland,Fearful and Shy Dog Level 1 - Fear of People - $190​​​​​​​​​​​​​​​​​​,SPECIALTY BEHAVIOR,First class is 9:30am-11:30am; no dogs​,,,Wednesday 5/31/23 at 9:30 AM with Amber Nemergut
